"Date","No2.Shift1","No2.Shift2","No2.Shift3","No2.Shift4","No2.Shift5","No2.Shift6"
2005-01-05,55.2,80.2,76,88.5,47.9,45.8
2005-01-08,70.8,103.1,87.5,78.1,65.6,53.1
2005-01-11,72.9,93.7,108.3,77.1,55.2,61.4
2005-01-13,68.7,88.5,102,72.9,43.7,47.9
2005-01-16,68.7,82.3,75,94.8,50,40.6
2005-01-21,77.1,59.4,104.1,64.6,31.2,42.7
2005-01-24,57.3,62.5,79.1,51,27.3,30.2
2005-01-27,65.6,87.5,110.4,71.8,40.6,53.1
2005-02-01,40.6,64.3,75.6,66.1,37.8,31
2005-02-04,57.3,74.4,105.3,93.4,54.6,43
2005-02-06,70.3,85.6,73.5,111.3,50.4,36.7
2005-02-09,63,74.5,113.4,80.8,52.5,48.3
2005-02-15,67.2,88.2,119.7,78.7,47.2,55.6
2005-02-19,55.6,81.9,77.7,60.9,40.9,32.5
2005-02-21,75.6,114.4,69.3,87.1,49.3,42
2005-02-24,59.8,73.5,103.9,63,45.7,52.5
2005-03-01,56.8,76.8,93.6,64.9,38.9,53
2005-03-04,77.9,96.6,141,107.9,56.8,51.5
2005-03-07,54.7,71.8,86.3,62.8,44.2,40
2005-03-10,63.1,73.6,122,81,38.9,31.6
2005-03-13,48.3,78.9,112.6,72.6,41.7,29.5
2005-03-19,33.7,56.8,40,45.2,35.8,26.3
2005-03-21,53.7,76.9,87.3,61,41,37.9
2005-03-23,55.8,77.9,66.3,58.9,37.9,32.1
2005-03-28,37.9,64.9,73.6,48.4,33.7,27.4
2005-04-02,39.6,52.1,68.7,60.4,33.3,30.2
2005-04-05,41.7,61.4,63.5,42.7,33.3,20.8
2005-04-08,50,72.9,58.3,53.1,34.4,24.3
2005-04-11,35.4,40.6,45.8,47.9,29.2,27.1
2005-04-13,43.7,69.8,81.2,63.5,45.8,32.9
2005-04-17,52.1,60.4,83.3,50,41.7,32.3
2005-04-20,40.6,71.8,62.5,65.6,36.4,35.5
2005-04-24,43.7,62.5,72.9,58.3,31.2,26
2005-04-28,54.1,81.2,86.4,59.4,36.4,30
2005-05-03,41.7,65.3,79.2,58.8,47.1,35.3
2005-05-06,54.6,73.8,46,37.4,25.7,24.4
2005-05-12,51.3,78.1,64.2,47.1,35.3,30
