"Date","PM10.Shift1","PM10.Shift2","PM10.Shift3"
2005-01-05,151,266,221
2005-01-08,179,196,209
2005-01-11,156,223,141
2005-01-13,186,250,282
2005-01-16,193,408,355
2005-01-21,213,311,232
2005-01-24,117,246,183
2005-01-27,223,414,372
2005-02-01,100,123,112
2005-02-04,222,524,281
2005-02-06,396,275,267
2005-02-09,89,159,171
2005-02-15,168,246,147
2005-02-19,182,222,120
2005-02-21,124,97,83
2005-02-24,82,122,123
2005-03-01,120,115,176
2005-03-04,180,286,264
2005-03-07,86,106,75
2005-03-10,127,249,114
2005-03-13,107,205,172
2005-03-19,68,76,37
2005-03-21,169,164,244
2005-03-23,191,106,37
2005-03-28,90,124,63
2005-04-02,140,101,119
2005-04-05,64,83,33
2005-04-08,115,45,21
2005-04-11,63,80,97
2005-04-13,169,247,136
2005-04-17,113,131,51
2005-04-20,120,126,83
2005-04-24,84,118,98
2005-04-28,145,130,63
2005-05-03,75,94,63
2005-05-06,153,82,57
2005-05-12,103,173,123
2005-05-14,139,104,54
2005-05-16,139,116,57
2005-05-20,69,54,47
2005-05-25,112,61,29
2005-05-27,73,74,28
2005-05-29,92,69,18
2005-06-03,124,168,38
2005-06-06,75,75,49
2005-06-09,83,65,62
2005-06-14,94,86,32
2005-06-18,141,164,39
2005-06-21,43,53,18
2005-06-23,59,108,30
2005-06-26,70,38,38
2005-06-29,23,19,19
2005-07-06,80,68,78
2005-07-09,70,44,26
2005-07-12,41,63,24
2005-07-15,31,45,11
2005-07-18,59,61,34
2005-07-21,66,38,30
2005-07-24,39,43,21
2005-07-28,17,33,15
2005-08-03,29,24,19
2005-08-06,38,33,22
2005-08-09,59,85,53
2005-08-12,65,73,85
2005-08-17,55,69,23
2005-08-19,74,50,38
2005-08-22,42,48,19
2005-08-25,105,66,35
2005-08-28,65,96,34
2005-09-03,45,40,11
2005-09-06,57,49,34
2005-09-09,44,52,40
2005-09-12,17,19,11
2005-09-15,72,158,148
2005-09-19,59,99,57
2005-09-21,84,57,25
2005-09-25,43,112,41
2005-09-27,78,74,66
2005-10-04,28,42,25
2005-10-06,86,87,64
2005-10-09,130,161,162
2005-10-14,110,134,107
2005-10-19,54,20,18
2005-10-22,15,33,12
2005-10-24,39,54,72
2005-10-26,78,148,177
2005-11-03,58,220,139
2005-11-05,86,182,138
2005-11-08,73,229,136
2005-11-11,133,355,289
2005-11-16,193,432,294
2005-11-18,165,397,278
2005-11-21,220,344,343
2005-11-24,327,409,243
2005-11-27,170,354,233
2005-12-03,138,201,225
2005-12-06,193,318,273
2005-12-09,197,380,283
2005-12-12,150,170,144
2005-12-16,158,254,210
2005-12-18,150,355,297
2005-12-21,139,144,94
2005-12-27,203,541,372
2005-12-29,253,387,523
2006-01-02,211,509,329
2006-01-05,189,161,118
2006-01-10,231,519,477
2006-01-14,351,388,386
2006-01-18,544,406,294
2006-01-21,131,171,96
2006-01-23,198,319,195
2006-01-27,159,196,137
2006-01-29,235,435,323
2006-02-02,302,393,352
2006-02-07,299,378,372
2006-02-10,297,242,241
2006-02-12,317,530,259
2006-02-15,263,400,301
2006-02-22,201,185,219
2006-02-25,234,147,125
2006-02-27,165,337,119
2006-03-01,113,207,165
2006-03-09,100,189,274
2006-03-11,73,92,66
2006-03-15,199,167,105
2006-03-17,271,139,146
2006-03-20,181,225,311
2006-03-24,202,361,308
2006-03-26,171,279,161
2006-03-28,155,159,197
2006-04-06,109,227,70
2006-04-08,74,160,74
2006-04-10,98,83,78
2006-04-12,163,172,86
2006-04-18,75,75,22
2006-04-21,60,123,70
2006-04-23,55,65,56
2006-04-26,171,110,71
2006-05-04,91,85,59
2006-05-06,71,84,80
2006-05-08,77,83,45
2006-05-12,68,51,36
2006-05-17,96,132,52
2006-05-20,106,89,78
2006-05-23,59,67,53
2006-05-25,88,79,120
2006-05-28,58,44,31
2006-06-02,76,76,28
2006-06-06,49,56,34
2006-06-10,87,109,59
2006-06-12,73,78,48
2006-06-16,81,59,32
2006-06-19,123,74,61
2006-06-22,44,68,59
2006-06-25,51,34,29
2006-06-28,53,59,62
2006-07-06,55,45,26
2006-07-08,89,69,15
2006-07-11,53,52,42
2006-07-13,58,59,34
2006-07-17,65,67,36
2006-07-21,34,50,52
2006-07-23,52,40,18
2006-07-26,65,65,55
2006-08-03,31,26,12
2006-08-05,41,38,23
2006-08-07,58,52,46
2006-08-10,47,86,68
2006-08-16,33,25,15
2006-08-18,52,66,34
2006-08-22,22,27,25
2006-08-25,37,61,39
2006-08-27,24,55,27
2006-09-02,33,59,42
2006-09-05,36,48,17
2006-09-08,60,47,22
2006-09-11,94,70,41
2006-09-14,53,76,55
2006-09-19,42,56,18
2006-09-22,34,17,15
2006-09-24,36,34,29
2006-09-27,28,87,47
2006-10-05,65,93,61
2006-10-07,86,118,189
2006-10-10,73,118,126
2006-10-13,90,122,105
2006-10-15,91,129,133
2006-10-18,107,147,132
2006-10-24,48,62,68
2006-10-27,43,124,130
2006-10-30,72,105,208
2006-11-04,60,105,112
2006-11-06,98,237,209
2006-11-09,127,206,157
2006-11-13,59,215,57
2006-11-17,108,234,249
2006-11-19,160,201,267
2006-11-22,114,216,264
2006-11-26,129,204,115
2006-11-28,126,329,215
2006-12-05,143,309,334
2006-12-07,210,335,310
2006-12-10,170,317,166
2006-12-15,151,232,222
2006-12-18,120,208,206
2006-12-23,99,244,145
2006-12-27,138,153,283
2006-12-29,141,164,169
2007-01-04,104,214,181
2007-01-06,133,209,203
2007-01-09,158,217,234
2007-01-12,153,385,210
2007-01-15,202,444,294
2007-01-18,251,191,195
2007-01-21,144,378,301
2007-01-24,202,259,220
2007-01-29,293,505,261
2007-02-03,216,240,200
2007-02-06,181,249,140
2007-02-09,111,145,204
2007-02-12,43,90,39
2007-02-15,108,144,59
2007-02-18,93,188,116
2007-02-21,79,139,163
2007-02-25,73,57,81
2007-03-01,53,23,48
2007-03-07,72,164,71
2007-03-10,85,93,73
2007-03-13,100,66,45
2007-03-16,45,43,108
2007-03-19,108,135,155
2007-03-22,55,224,108
2007-03-25,157,151,154
2007-03-27,95,75,176
2007-04-05,150,202,63
2007-04-07,135,123,65
2007-04-10,83,126,70
2007-04-13,64,50,43
2007-04-16,38,50,33
2007-04-19,80,61,27
2007-04-22,99,121,80
2007-04-25,102,81,90
2007-05-03,76,64,60
2007-05-05,77,82,47
2007-05-09,61,94,101
2007-05-12,65,76,57
2007-05-15,71,85,53
2007-05-18,116,114,98
2007-05-21,89,71,56
2007-05-24,73,93,96
2007-05-27,74,62,84
2007-06-02,89,87,38
2007-06-05,85,88,72
2007-06-08,87,65,33
2007-06-11,72,130,53
2007-06-14,45,32,20
2007-06-17,58,43,36
2007-06-22,41,62,18
2007-06-25,33,38,32
2007-06-27,40,48,29
2007-07-02,42,49,31
2007-07-04,37,24,41
2007-07-09,123,41,42
2007-07-14,66,64,25
2007-07-17,40,68,64
2007-07-20,48,30,96
2007-07-22,60,38,43
2007-07-26,43,23,18
2007-07-29,73,52,82
2007-08-04,57,52,36
2007-08-06,24,26,24
2007-08-10,56,48,34
2007-08-13,26,31,33
2007-08-18,27,37,30
2007-08-21,58,83,53
2007-08-23,41,43,22
2007-08-26,109,69,52
2007-08-29,47,45,44
2007-09-06,37,49,53
2007-09-08,42,41,43
2007-09-11,44,94,113
2007-09-14,39,35,40
2007-09-16,65,40,63
2007-09-21,30,66,32
2007-09-24,36,32,26
2007-09-26,35,24,37
2007-10-03,75,63,43
2007-10-05,191,84,97
2007-10-11,154,230,104
2007-10-13,147,163,96
2007-10-15,33,95,72
2007-10-17,50,93,40
2007-10-24,90,150,114
2007-10-26,85,105,182
2007-10-28,114,112,179
2007-10-30,92,158,171
2007-11-06,134,310,196
2007-11-08,149,235,141
2007-11-14,81,123,99
2007-11-16,76,205,57
2007-11-18,137,147,148
