"Date","so2.Shift1","so2.Shift2","so2.Shift3","so2.Shift4","so2.Shift5","so2.Shift6"
2005-01-05,4,5.9,4.9,4,2,2
2005-01-08,4.9,4,6.9,7.9,4.9,4
2005-01-11,4,4.9,5.9,6.9,2,4.9
2005-01-13,4.9,6.9,8.9,5.9,4,2
2005-01-16,4.9,6.9,7.9,4.9,2,4
2005-01-21,5.9,4.9,6.9,4,2,2
2005-01-24,4,4.9,5.9,4,2,2
2005-01-27,4.9,6.9,9.9,5.9,4,4.9
2005-02-01,2,4.8,6,4,2,2
2005-02-04,5.5,4.4,9.6,8,4,6
2005-02-06,7,11.2,8,12,4,5
2005-02-09,4,6,5,8,5,4
2005-02-15,5,7,13.1,6,4,2
2005-02-19,4,6,5,7,4,2
2005-02-21,5,7,6,9,4,2
2005-02-24,4,10,8,5,4.5,2
2005-03-01,4.8,7.7,6.8,5.5,5.8,4.6
2005-03-04,5.8,8,14.5,7.4,5.8,4.8
2005-03-07,4.8,4.9,9.6,6.8,4.8,2
2005-03-10,6.7,4.8,7.7,5.8,4.8,2
2005-03-13,4.1,5.8,4.8,7.7,5,2
2005-03-19,5.8,7.7,5.8,4.8,2,2
2005-03-21,5.8,4.4,7.7,6.7,4.8,2
2005-03-23,8.7,6.7,4.8,5.8,2,2
2005-03-28,5.8,7.7,4.8,5.8,2,4.8
2005-04-02,6,6.9,4.3,5.2,2,2
2005-04-05,4.3,5.2,6,4.3,5.2,2
2005-04-08,6,5.2,4.3,4.3,2,2
2005-04-11,4.3,6,5.9,4.3,2,4.3
2005-04-13,4.3,8.6,9.5,5.2,6,4.4
2005-04-17,5.2,4.3,6.9,5.2,4.3,2
2005-04-20,5.2,6.9,6,4.3,5.2,5.5
2005-04-24,6,5.2,7.8,4.3,2,5.2
2005-04-28,5.2,6.9,7.8,6,4.3,4.1
2005-05-03,6,4.3,5.2,5.2,2,2
2005-05-06,4.3,6,2,2,4.3,2
2005-05-12,5.2,4.3,6,6.9,2,4.3
2005-05-14,4.3,6.9,5.2,4.3,2,2
2005-05-16,6,4.3,5.2,4.3,2,2
2005-05-20,6,5.2,6.9,4.3,2,4.6
2005-05-25,5.2,7.7,4.3,2,2,4.3
2005-05-27,5.2,4.3,6,2,2,4.3
2005-05-29,2,5.2,4.3,6,4.3,2
2005-06-03,5.2,6.1,4.4,5.2,4.4,2
2005-06-06,4.4,5.2,4.4,4.4,2,2
2005-06-09,9.6,4.4,6.1,5.2,4.4,2
2005-06-14,5.2,7,4.4,6.1,2,2
2005-06-18,6.1,4.4,5.2,4.4,2,2
2005-06-21,4.4,5.2,5.2,4.4,2,2
2005-06-23,6.1,4.4,4.4,5.2,2,2
2005-06-26,5,5.2,4.4,4.4,2,2
2005-06-29,4.4,4.2,4.4,4,2,2
2005-07-06,4.8,6.2,5.3,4.4,2,2
2005-07-09,5.3,7.1,6.2,4.4,2,2
2005-07-12,4.4,2,5.3,4.4,2,2
2005-07-15,4.7,5.7,8,6.2,2,2
2005-07-18,2,5.9,5.3,6.2,4.4,2
2005-07-21,2,5.3,4.4,6.2,4.4,2
2005-07-24,4.4,5.3,6.1,4.4,2,2
2005-07-28,4.4,4.2,5.3,4.4,2,2
2005-08-03,2,4.6,5.6,4.6,2,2
2005-08-06,4.6,5.6,6.5,4.6,2,2
2005-08-09,5.6,6.5,8.3,4.6,4.6,2
2005-08-12,2,5.6,4.6,6.5,4.6,2
