"DateTime","No2.Values"
0,55.2
4,80.2
8,76
12,88.5
16,47.9
20,45.8
72,70.8
76,103.1
80,87.5
84,78.1
88,65.6
92,53.1
144,72.9
148,93.7
152,108.3
156,77.1
160,55.2
164,61.4
192,68.7
196,88.5
200,102
204,72.9
208,43.7
212,47.9
264,68.7
268,82.3
272,75
276,94.8
280,50
284,40.6
384,77.1
388,59.4
392,104.1
396,64.6
400,31.2
404,42.7
456,57.3
460,62.5
464,79.1
468,51
472,27.3
476,30.2
528,65.6
532,87.5
536,110.4
540,71.8
544,40.6
548,53.1
648,40.6
652,64.3
656,75.6
660,66.1
664,37.8
668,31
720,57.3
724,74.4
728,105.3
732,93.4
736,54.6
740,43
768,70.3
772,85.6
776,73.5
780,111.3
784,50.4
788,36.7
840,63
844,74.5
848,113.4
852,80.8
856,52.5
860,48.3
984,67.2
988,88.2
992,119.7
996,78.7
1000,47.2
1004,55.6
1080,55.6
1084,81.9
1088,77.7
1092,60.9
1096,40.9
1100,32.5
1128,75.6
1132,114.4
1136,69.3
1140,87.1
1144,49.3
1148,42
1200,59.8
1204,73.5
1208,103.9
1212,63
1216,45.7
1220,52.5
1320,56.8
1324,76.8
1328,93.6
1332,64.9
1336,38.9
1340,53
1392,77.9
1396,96.6
1400,141
1404,107.9
1408,56.8
1412,51.5
1464,54.7
1468,71.8
1472,86.3
1476,62.8
1480,44.2
1484,40
1536,63.1
1540,73.6
1544,122
1548,81
1552,38.9
1556,31.6
1608,48.3
1612,78.9
1616,112.6
1620,72.6
1624,41.7
1628,29.5
1752,33.7
1756,56.8
1760,40
1764,45.2
1768,35.8
1772,26.3
1800,53.7
1804,76.9
1808,87.3
1812,61
1816,41
1820,37.9
1848,55.8
1852,77.9
1856,66.3
1860,58.9
1864,37.9
1868,32.1
1968,37.9
1972,64.9
1976,73.6
1980,48.4
1984,33.7
1988,27.4
2088,39.6
2092,52.1
2096,68.7
2100,60.4
2104,33.3
2108,30.2
2160,41.7
2164,61.4
2168,63.5
2172,42.7
2176,33.3
2180,20.8
2232,50
2236,72.9
2240,58.3
2244,53.1
2248,34.4
2252,24.3
2304,35.4
2308,40.6
2312,45.8
2316,47.9
2320,29.2
2324,27.1
2352,43.7
2356,69.8
2360,81.2
2364,63.5
2368,45.8
2372,32.9
2448,52.1
2452,60.4
2456,83.3
2460,50
2464,41.7
2468,32.3
2520,40.6
2524,71.8
2528,62.5
2532,65.6
2536,36.4
2540,35.5
2616,43.7
2620,62.5
2624,72.9
2628,58.3
2632,31.2
2636,26
2712,54.1
2716,81.2
2720,86.4
2724,59.4
2728,36.4
2732,30
2832,41.7
2836,65.3
2840,79.2
2844,58.8
2848,47.1
2852,35.3
2904,54.6
2908,73.8
2912,46
2916,37.4
2920,25.7
2924,24.4
3048,51.3
3052,78.1
3056,64.2
3060,47.1
3064,35.3
3068,30
3096,70.6
3100,67.4
3104,55.6
3108,66.3
3112,42.8
3116,31
3144,38.5
3148,55.6
3152,62
3156,34.2
3160,30
3164,22.5
3240,46
3244,69.5
3248,65.3
3252,49.2
3256,31
3260,21.4
3360,36.4
3364,53.5
3368,50.3
3372,39.6
3376,32.1
3380,23.5
3408,49.2
3412,72.7
3416,57.8
3420,41.7
3424,25.7
3428,38.5
3456,43.9
3460,63.1
3464,40.7
3468,36.4
3472,25.7
3476,28.5
3576,42.2
3580,48.5
3584,58
3588,45.3
3592,31.6
3596,25.3
3648,44.3
3652,51.7
3656,46.4
3660,40.1
3664,35.8
3668,27.4
3720,46.4
3724,49.5
3728,54.8
3732,43.2
3736,36.9
3740,28.5
3840,39
3844,33.7
3848,45.3
3852,36.9
3856,27.4
3860,22.1
3936,32.7
