"DateTime","so2.Values"
0,4
4,5.9
8,4.9
12,4
16,2
20,2
72,4.9
76,4
80,6.9
84,7.9
88,4.9
92,4
144,4
148,4.9
152,5.9
156,6.9
160,2
164,4.9
192,4.9
196,6.9
200,8.9
204,5.9
208,4
212,2
264,4.9
268,6.9
272,7.9
276,4.9
280,2
284,4
384,5.9
388,4.9
392,6.9
396,4
400,2
404,2
456,4
460,4.9
464,5.9
468,4
472,2
476,2
528,4.9
532,6.9
536,9.9
540,5.9
544,4
548,4.9
648,2
652,4.8
656,6
660,4
664,2
668,2
720,5.5
724,4.4
728,9.6
732,8
736,4
740,6
768,7
772,11.2
776,8
780,12
784,4
788,5
840,4
844,6
848,5
852,8
856,5
860,4
984,5
988,7
992,13.1
996,6
1000,4
1004,2
1080,4
1084,6
1088,5
1092,7
1096,4
1100,2
1128,5
1132,7
1136,6
1140,9
1144,4
1148,2
1200,4
1204,10
1208,8
1212,5
1216,4.5
1220,2
1320,4.8
1324,7.7
1328,6.8
1332,5.5
1336,5.8
1340,4.6
1392,5.8
1396,8
1400,14.5
1404,7.4
1408,5.8
1412,4.8
1464,4.8
1468,4.9
1472,9.6
1476,6.8
1480,4.8
1484,2
1536,6.7
1540,4.8
1544,7.7
1548,5.8
1552,4.8
1556,2
1608,4.1
1612,5.8
1616,4.8
1620,7.7
1624,5
1628,2
1752,5.8
1756,7.7
1760,5.8
1764,4.8
1768,2
1772,2
1800,5.8
1804,4.4
1808,7.7
1812,6.7
1816,4.8
1820,2
1848,8.7
1852,6.7
1856,4.8
1860,5.8
1864,2
1868,2
1968,5.8
1972,7.7
1976,4.8
1980,5.8
1984,2
1988,4.8
2088,6
2092,6.9
2096,4.3
2100,5.2
2104,2
2108,2
2160,4.3
2164,5.2
2168,6
2172,4.3
2176,5.2
2180,2
2232,6
2236,5.2
2240,4.3
2244,4.3
2248,2
2252,2
2304,4.3
2308,6
2312,5.9
2316,4.3
2320,2
2324,4.3
2352,4.3
2356,8.6
2360,9.5
2364,5.2
2368,6
